ID,Week,Player,FTM,PTS,AST,REB,TO,FGM,FGA,3PTM,FTA,STL,BLK,Fantasy Points,Weekly Contribution Percentage
1,1,Josh Okogie,5.0,17.0,6.0,9.0,-2.0,10.0,-9.0,2.0,-5.0,0.0,4.0,37.0,3.5
2,1,Ausar Thompson,1.0,4.0,6.0,7.0,-4.0,2.0,-7.0,1.0,-2.0,0.0,20.0,28.0,2.65
3,1,Tyrese Haliburton,3.0,41.0,48.0,11.0,-8.0,32.0,-32.0,6.0,-3.0,4.0,8.0,110.0,10.41
4,1,Onyeka Okongwu,0.0,14.0,4.0,7.0,-2.0,14.0,-11.0,0.0,0.0,4.0,0.0,30.0,2.84
5,1,Austin Reaves,8.0,29.0,14.0,12.0,-12.0,18.0,-30.0,3.0,-11.0,16.0,0.0,47.0,4.45
6,1,Keldon Johnson,5.0,42.0,24.0,18.0,-12.0,32.0,-38.0,5.0,-7.0,4.0,4.0,77.0,7.28
7,1,Darius Garland,2.0,15.0,10.0,2.0,-12.0,12.0,-12.0,1.0,-2.0,8.0,0.0,24.0,2.27
8,1,Aaron Gordon,1.0,34.0,20.0,12.0,-4.0,32.0,-29.0,1.0,-4.0,24.0,20.0,107.0,10.12
9,1,Damian Lillard,17.0,45.0,18.0,12.0,-12.0,22.0,-32.0,6.0,-17.0,8.0,0.0,67.0,6.34
10,1,Kawhi Leonard,7.0,69.0,30.0,17.0,-16.0,50.0,-52.0,12.0,-10.0,20.0,4.0,131.0,12.39
11,1,Dejounte Murray,9.0,44.0,34.0,10.0,-10.0,34.0,-43.0,1.0,-11.0,12.0,8.0,88.0,8.33
12,1,Jamal Murray,6.0,62.0,38.0,5.0,-16.0,48.0,-44.0,8.0,-6.0,0.0,8.0,109.0,10.31
13,1,Michael Porter Jr.,1.0,41.0,14.0,34.0,-4.0,32.0,-34.0,8.0,-1.0,8.0,0.0,99.0,9.37
14,1,Chris Paul,8.0,32.0,56.0,13.0,-10.0,24.0,-35.0,0.0,-9.0,24.0,0.0,103.0,9.74
15,2,Tyrese Haliburton,21.0,80.0,76.0,9.0,-22.0,50.0,-51.0,9.0,-23.0,16.0,4.0,169.0,12.39
16,2,Jarrett Allen,2.0,12.0,6.0,9.0,-4.0,10.0,-7.0,0.0,-2.0,0.0,0.0,26.0,1.91
17,2,Austin Reaves,3.0,31.0,10.0,5.0,-8.0,24.0,-23.0,4.0,-4.0,8.0,4.0,54.0,3.96
18,2,Darius Garland,16.0,38.0,26.0,3.0,-20.0,22.0,-28.0,0.0,-17.0,8.0,4.0,52.0,3.81
19,2,Keldon Johnson,5.0,60.0,26.0,16.0,0.0,48.0,-49.0,7.0,-6.0,24.0,4.0,135.0,9.9
20,2,Aaron Gordon,7.0,58.0,30.0,29.0,-24.0,48.0,-41.0,3.0,-12.0,16.0,12.0,126.0,9.24
21,2,Xavier Tillman,0.0,6.0,10.0,11.0,-6.0,6.0,-11.0,0.0,0.0,8.0,8.0,32.0,2.35
22,2,Damian Lillard,27.0,70.0,28.0,11.0,-20.0,36.0,-38.0,7.0,-30.0,8.0,4.0,103.0,7.55
23,2,Dereck Lively II,0.0,2.0,0.0,6.0,0.0,2.0,-2.0,0.0,0.0,0.0,4.0,12.0,0.88
24,2,Kawhi Leonard,5.0,46.0,16.0,14.0,-6.0,36.0,-39.0,5.0,-8.0,16.0,0.0,85.0,6.23
25,2,Dejounte Murray,7.0,85.0,40.0,19.0,-20.0,70.0,-59.0,8.0,-8.0,12.0,4.0,158.0,11.58
26,2,Walker Kessler,2.0,12.0,2.0,18.0,-2.0,10.0,-13.0,0.0,-4.0,0.0,40.0,65.0,4.77
27,2,Jamal Murray,10.0,52.0,66.0,13.0,-16.0,36.0,-53.0,6.0,-13.0,8.0,12.0,121.0,8.87
28,2,Michael Porter Jr.,5.0,64.0,12.0,21.0,-8.0,48.0,-53.0,11.0,-6.0,8.0,24.0,126.0,9.24
29,2,Chris Paul,1.0,21.0,56.0,13.0,-2.0,18.0,-31.0,2.0,-2.0,24.0,0.0,100.0,7.33
30,3,Tyrese Haliburton,13.0,93.0,96.0,15.0,-12.0,68.0,-62.0,12.0,-13.0,16.0,12.0,238.0,17.13
31,3,Lonnie Walker IV,0.0,5.0,4.0,2.0,-2.0,4.0,-8.0,1.0,0.0,0.0,0.0,6.0,0.43
32,3,Jarrett Allen,14.0,26.0,10.0,11.0,-4.0,12.0,-12.0,0.0,-18.0,8.0,4.0,51.0,3.67
33,3,Austin Reaves,10.0,63.0,48.0,16.0,-18.0,46.0,-46.0,7.0,-11.0,16.0,0.0,131.0,9.43
34,3,Keldon Johnson,7.0,42.0,20.0,20.0,-6.0,32.0,-40.0,3.0,-10.0,4.0,4.0,76.0,5.47
35,3,Darius Garland,4.0,34.0,26.0,9.0,-24.0,26.0,-24.0,4.0,-7.0,28.0,4.0,80.0,5.76
36,3,Deni Avdija,4.0,34.0,26.0,18.0,-12.0,28.0,-37.0,2.0,-5.0,16.0,8.0,82.0,5.9
37,3,Aaron Gordon,7.0,45.0,28.0,31.0,-12.0,36.0,-35.0,2.0,-12.0,12.0,16.0,118.0,8.5
38,3,Damian Lillard,21.0,55.0,20.0,8.0,-4.0,30.0,-40.0,4.0,-23.0,16.0,0.0,87.0,6.26
39,3,Dejounte Murray,10.0,68.0,26.0,12.0,-20.0,44.0,-47.0,14.0,-13.0,24.0,4.0,122.0,8.78
40,3,Kawhi Leonard,11.0,75.0,24.0,19.0,-6.0,58.0,-63.0,6.0,-12.0,12.0,12.0,136.0,9.79
41,3,Walker Kessler,4.0,15.0,0.0,15.0,-2.0,10.0,-12.0,1.0,-6.0,0.0,16.0,41.0,2.95
42,3,Michael Porter Jr.,4.0,64.0,10.0,27.0,-6.0,52.0,-52.0,8.0,-4.0,0.0,12.0,115.0,8.28
43,3,Chris Paul,5.0,37.0,48.0,14.0,-12.0,28.0,-29.0,4.0,-5.0,16.0,0.0,106.0,7.63
44,4,Tyrese Haliburton,7.0,45.0,36.0,9.0,-8.0,30.0,-32.0,8.0,-8.0,8.0,8.0,103.0,7.55
45,4,Jarrett Allen,12.0,48.0,18.0,30.0,-18.0,36.0,-27.0,0.0,-18.0,4.0,32.0,117.0,8.58
46,4,Austin Reaves,13.0,49.0,50.0,31.0,-24.0,30.0,-30.0,6.0,-17.0,4.0,0.0,112.0,8.21
47,4,Keldon Johnson,4.0,43.0,16.0,12.0,-6.0,30.0,-30.0,9.0,-5.0,4.0,4.0,81.0,5.94
48,4,Darius Garland,13.0,70.0,30.0,9.0,-20.0,50.0,-49.0,7.0,-17.0,4.0,4.0,101.0,7.4
49,4,Deni Avdija,4.0,42.0,24.0,15.0,-14.0,32.0,-24.0,6.0,-4.0,16.0,4.0,101.0,7.4
50,4,Aaron Gordon,6.0,45.0,24.0,17.0,-8.0,38.0,-37.0,1.0,-12.0,8.0,8.0,90.0,6.6
